WBS,단계,작업영역,모듈,세부작업,범위/설명,산정 근거(핵심 활동),선행작업,담당,복잡도,기준공수(일),버퍼율,버퍼공수(일),계산공수(일),"조정공수(일,입력)",최종공수(일),진행률(%),완료공수(일),잔여공수(일),상태,계획시작일(입력),계획종료일(자동),산출물,참조(제안서)
8.1,확장,완료공지,Completion,완료공지 등록 UI/기능,점검/장애 공지에 ‘완료공지 등록’ 버튼/폼 제공,완료공지 프로세스(p8),7.5,FE/BE,상,5,20%,1,6,,6,,,,미착수,,,완료공지 화면/기능,p8
8.2,확장,완료공지,Completion,작업 완료 상태 표시/연계,"원 공지 상태를 완료로 변경, 대시보드/캘린더 완료 표시",완료 상태 표시(p8),8.1,BE/FE,중,3,15%,1,4,,4,,,,미착수,,,완료 상태 연계,p8
8.3,확장,알림채널,API Guide,알림 연계 표준 API Guide 작성,"연계 규격, 인증, 페이로드, 오류 표준",API Guide(p9),2.11,Arch/BE,중,3,15%,1,4,,4,,,,미착수,,,연계 가이드,p9
8.4,확장,알림채널,Connectors,연계 서비스 표시/선택 UI,공지 작성 시 연계 서비스(이메일/메신저/포탈 등) 선택,복수선택(p9),8.3,FE,중,3,15%,1,4,,4,,,,미착수,,,채널 선택 UI,p9
8.5,확장,알림채널,Connectors,커넥터 Stub 구현(확장 대비),서비스별 연동 모듈 인터페이스/플러그인 구조,확장성 확보,8.3,BE,중,3,15%,1,4,,4,,,,미착수,,,커넥터 프레임,p9
9.1,테스트,품질,Unit,단위 테스트(핵심 로직),"승인 상태 전이, 발송 스케줄링, 수신자 매핑",로직 안정성,5.4,BE,중,3,15%,1,4,,4,,,,미착수,,,단위 테스트,p4-5
9.2,테스트,품질,SIT,통합 테스트(SIT),공지등록→승인→발송→캘린더→로그→대시보드 E2E,핵심 플로우(p2),6.9,QA,상,5,20%,1,6,,6,,,,미착수,,,SIT 결과서,p2-7
9.3,테스트,품질,UAT,사용자 인수 테스트(UAT) 지원,"업무부서 시나리오/수용기준 검증, 이슈 반영",업무 승인,9.2,QA/PM,상,5,20%,1,6,,6,,,,미착수,,,UAT 결과/서명,p2
9.4,테스트,보안,Security,보안 점검(권한/감사/비밀관리),"Secret 보관, 접근제어, 로그 마스킹, 권한 검증",NFR,6.2,보안/Infra,상,5,20%,1,6,,6,,,,미착수,,,보안 점검 결과,p5
9.5,테스트,성능,Perf,발송 성능/부하 테스트(선택),정기발송 시 다수 공지 묶음 처리 성능 검증,대량 발송 리스크,5.6,QA/BE,중,3,15%,1,4,,4,,,,미착수,,,성능 결과서,p4
9.6,테스트,안정화,Bugfix,버그 수정/회귀 테스트,"테스트 이슈 반영, 회귀 테스트 반복",오픈 전 필수,9.2,FE/BE/QA,상,5,20%,1,6,,6,,,,미착수,,,버그 리스트/수정내역,p2
10.1,배포/전환,운영,Deploy,배포 자동화/릴리즈 절차 구축,"빌드/배포 파이프라인, 롤백 절차",운영 반영,4.1,Infra,중,3,15%,1,4,,4,,,,미착수,,,배포 절차서,p2
10.2,배포/전환,운영,Config,운영 설정(자원/계정/발송시간) 적용,"법인별 자원 매핑, 발송시간, 권한 설정",자원 설정 필요,6.4,Infra/BE,상,5,20%,1,6,,6,,,,미착수,,,운영 설정값,p2-4
10.3,배포/전환,운영,Seed,초기 데이터 적재(법인/부서/서비스),마스터 데이터 적재 및 검증,필수 데이터,4.3,BE/DBA,중,3,15%,1,4,,4,,,,미착수,,,초기 데이터,p4
10.4,배포/전환,문서,Docs,사용자 가이드/운영자 매뉴얼 작성,공지 작성/승인/조회/대시보드 사용법 + 운영 절차,정착 필요,9.3,PM/기획,중,3,15%,1,4,,4,,,,미착수,,,가이드/매뉴얼,p2
10.5,배포/전환,교육,Training,교육/전파(작성자·승인자·운영자),"사용 방법 교육, Q&A",정착,10.4,PM/기획,하,1,10%,1,2,,2,,,,미착수,,,교육자료,p2
10.6,배포/전환,오픈,Go-live,오픈/모니터링(초기 안정화),"오픈, 발송 모니터링, 장애 대응",안정화,10.2,전원,상,5,20%,1,6,,6,,,,미착수,,,오픈 체크리스트/일지,p2
4.5.1,개발,공지,Notice UI,입력값 검증/UX(필수/길이/형식),"필수항목(*) 검증, 날짜/시간 포맷, 오류 메시지",입력항목(*) 다수(p4),4.5,FE,중,3,15%,1,4,,4,,,,미착수,,,검증 로직,p4
4.5.2,개발,공지,Recipients UI,법인/부서 선택 팝업 UI,검색/다중선택/선택값 요약 표시,수신팝업 필요(p4),4.5,FE,상,5,20%,1,6,,6,,,,미착수,,,수신대상 팝업,p4
4.5.3,개발,공지,SendTime UI,정기/즉시 발송시간 선택 UI,정기시간(08:30/17:30) 선택 시 안내문 포함,정기발송 안내(p4),4.5,FE,중,3,15%,1,4,,4,,,,미착수,,,발송시간 UI,p4
4.5.4,개발,공지,Preview,메일/캘린더 미리보기(선택),발송 전 본문/일정 내용 확인 화면,오발송 방지,4.5,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,미리보기,p3-4
4.6.1,개발,공지,Notice API,서버 검증(권한/상태/수신대상),"승인 전 상태에서만 수정 허용, 권한 체크",통제 필요(p5),4.6,BE,상,5,20%,1,6,,6,,,,미착수,,,서버 검증,p5
4.6.2,개발,공지,Notice API,공지 내용 보안 처리(HTML/스크립트 차단),"본문 입력 시 XSS 방지, 허용 태그 제한",보안 요구(NFR),4.6,BE,중,3,15%,1,4,,4,,,,미착수,,,콘텐츠 정제,p5
5.6.1,개발,발송,Batch Send,스케줄 트리거/크론 설정,오전/오후 정기시간 트리거 설정 및 테스트,정기발송(p4),5.6,BE/Infra,중,3,15%,1,4,,4,,,,미착수,,,크론/스케줄 설정,p4
5.6.2,개발,발송,Batch Send,묶음메일 대상 선정/그룹핑 로직,시간대/법인/부서별 묶음 규칙 확정 및 구현,묶음메일 핵심(p4),5.6,BE,초상,7,25%,2,9,,9,,,,미착수,,,그룹핑 로직,p4
5.6.3,개발,발송,Batch Send,메일 합본 템플릿(공지 다건) 구현,다건 공지를 1메일에 섹션 형태로 렌더,묶음메일 요구,5.5,BE,상,5,20%,1,6,,6,,,,미착수,,,합본 템플릿,p4
5.6.4,개발,발송,Batch Send,중복 발송 방지(멱등키) 적용,같은 배치에서 중복 발송 방지 키/락 적용,오발송 방지,5.10,BE,상,5,20%,1,6,,6,,,,미착수,,,멱등 처리,p5
5.6.5,개발,발송,Batch Send,동시성 제어(락/큐) 및 모니터링,"배치 중복 실행 방지, 실행 로그",운영 안정성,5.6,BE,상,5,20%,1,6,,6,,,,미착수,,,락/모니터링,p5
6.3.1,연동,MS Graph,Auth,토큰 캐시 저장소 설계/구현,"메모리/Redis 등 캐시, 동시 갱신 방지",안정적 발송,6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,토큰 캐시,p3
6.3.2,연동,MS Graph,Auth,토큰 갱신 실패/재시도 처리,만료/권한 오류 시 안전한 실패 처리 및 알림,운영 리스크,6.3,BE,상,5,20%,1,6,,6,,,,미착수,,,갱신 예외처리,p3
6.3.3,연동,MS Graph,Auth,Secret/인증서 보관 및 교체 절차,"Vault/Key 저장, 교체 시 무중단 전략",보안 요구,6.1,Infra,상,5,20%,1,6,,6,,,,미착수,,,비밀관리 절차,p5
6.5.1,연동,MS Graph,Mail,sendMail 요청 페이로드 구성,수신자/제목/본문/첨부(미사용) 구성,메일 발송(p3),6.5,BE,중,3,15%,1,4,,4,,,,미착수,,,sendMail 빌더,p3
6.5.2,연동,MS Graph,Mail,수신자 처리(BCC/그룹/제한) 정책 적용,대량 수신시 BCC 사용/그룹 주소 사용 정책,대량 발송 운영,5.9,BE,상,5,20%,1,6,,6,,,,미착수,,,수신자 정책,p4
6.5.3,연동,MS Graph,Mail,응답 파싱 및 결과 로그 적재,Graph 응답/에러를 발송 로그에 표준화 저장,History(p5),7.1,BE,중,3,15%,1,4,,4,,,,미착수,,,응답 로그,p5
6.6.1,연동,MS Graph,Calendar,이벤트 생성 페이로드/필드 매핑,시작/종료/시간대/본문 매핑 및 테스트,일정 등록(p3-4),6.6,BE,중,3,15%,1,4,,4,,,,미착수,,,이벤트 빌더,p3-4
6.6.2,연동,MS Graph,Calendar,공지 변경 시 이벤트 업데이트 규칙,공지 수정/취소 시 이벤트 수정/삭제 정책,정합성,4.7,BE,상,5,20%,1,6,,6,,,,미착수,,,업데이트/삭제 로직,p4
6.6.3,연동,MS Graph,Calendar,시간대/서머타임 처리 검증,"KST 고정 여부, 시간대 설정 오류 방지",운영 리스크,6.6.1,BE,중,3,15%,1,4,,4,,,,미착수,,,시간대 검증,p3-4
7.5.1,개발,대시보드,Monthly,월간뷰 조회 쿼리/집계 구현,기간별 공지/점검 일정 조회 최적화,Monthly View(p6),7.5,BE,중,3,15%,1,4,,4,,,,미착수,,,월간 집계 API,p6
7.5.2,개발,대시보드,Monthly,캘린더 UI 렌더링/상호작용,"일별 표시, 중요도 색/표시, 상태(완료) 표기",Monthly View(p6),7.5,FE,상,5,20%,1,6,,6,,,,미착수,,,캘린더 UI,p6
7.5.3,개발,대시보드,Monthly,캘린더 클릭 시 상세 팝업/드릴다운,"일정/공지 상세 정보 팝업, 링크 이동",운영 편의,7.5.2,FE/BE,중,3,15%,1,4,,4,,,,미착수,,,드릴다운,p6-7
7.3.1,개발,이력,History UI,History 상세(실패사유/수신대상) 화면,발송 실패 사유/수신 대상/Graph 응답 표시,발송실패(p5),7.3,FE,중,3,15%,1,4,,4,,,,미착수,,,History 상세,p5
7.4.1,개발,이력,History API,검색 인덱스/성능 튜닝,기간/법인/부서/상태 조회 성능,검색기간(p5),7.4,BE/DBA,중,3,15%,1,4,,4,,,,미착수,,,인덱스 적용,p5
8.3.1,확장,알림채널,API Guide,연계 가이드 목차/샘플 페이로드 작성,"예시 요청/응답, 오류코드, 버전관리",Guide(p9),8.3,Arch/BE,하,1,10%,1,2,,2,,,,미착수,,,가이드 초안,p9
8.3.2,확장,알림채널,API Guide,보안/인증 방식 정의,API 키/JWT/망연계 고려,연계 보안,8.3,Arch/보안,중,3,15%,1,4,,4,,,,미착수,,,보안 규격,p9
